cluster_name,z,dynamical_state_flag,telescope_source
3C295,0.464,cool-core,Chandra
Abell0068,0.255,high-entropy,Both
Abell0115N,0.197,cool-core,Both
Abell0115S,0.197,cool-core,Both
Abell0209,0.206,high-entropy,Both
Abell0222,0.207,cool-core,Both
Abell0223S,0.207,high-entropy,Both
Abell0267,0.231,cool-core,Both
Abell0370,0.375,high-entropy,Chandra
Abell0383,0.187,cool-core,Both
Abell0520,0.199,high-entropy,Both
Abell0521,0.253,high-entropy,Chandra
Abell0586,0.171,cool-core,Chandra
Abell0611,0.288,cool-core,Chandra
Abell0697,0.282,cool-core,Chandra
Abell0851,0.407,high-entropy,XMM-Newton
Abell0959,0.286,cool-core,XMM-Newton
Abell0963,0.206,cool-core,Both
Abell1689,0.183,cool-core,Both
Abell1758E,0.279,high-entropy,Chandra
Abell1758W,0.279,high-entropy,Chandra
Abell1763,0.223,high-entropy,Both
Abell1835,0.253,cool-core,Both
Abell1914,0.171,cool-core,Both
Abell1942,0.224,cool-core,Chandra
Abell2104,0.153,high-entropy,Chandra
Abell2111,0.229,high-entropy,Chandra
Abell2163,0.203,high-entropy,Chandra
Abell2204,0.152,cool-core,Both
Abell2218,0.176,high-entropy,Both
Abell2219,0.226,high-entropy,Chandra
Abell2259,0.164,cool-core,Chandra
Abell2261,0.224,cool-core,Chandra
Abell2390,0.228,cool-core,Both
Abell2537,0.295,cool-core,Both
CL0024.0+1652,0.390,cool-core,Chandra
MACSJ0717.5+3745,0.548,high-entropy,Chandra
MACSJ0913.7+4056,0.442,cool-core,Chandra
MS0015.9+1609,0.541,cool-core,Both
MS0440.5+0204,0.190,cool-core,Chandra
MS0451.6-0305,0.550,high-entropy,Chandra
MS0906.5+1110,0.174,cool-core,Chandra
MS1008.1-1224,0.301,cool-core,Chandra
MS1231.3+1542,0.233,cool-core,XMM-Newton
MS1358.1+6245,0.328,cool-core,Chandra
MS1455.0+2232,0.258,cool-core,Both
MS1512.4+3647,0.372,cool-core,Chandra
MS1621.5+2640,0.426,high-entropy,Chandra
RXJ1347.5-1145,0.451,cool-core,Both
RXJ1524.6+0957,0.520,high-entropy,Chandra
