cluster_name,z,L_X_1e45ergs,L_X_err,T_X_keV,T_X_err,r500_WL_Mpc,M_WL_1e14Msun,M_WL_err,M_Gas_1e14Msun,M_Gas_err,M_hydro_1e14Msun,M_hydro_err,K0_keVcm2,K0_err,D_BCG_kpc,wX,wX_err,P3P0,P3P0_err,delta_M_1e14Msun,E_ICM_proxy_MgasTx
3C295,0.464,1.16,0.02,5.7,0.3,1.06,5.7,1.2,0.62,0.03,3.9,1.0,12.8,2.4,12.0,5.7,1.4,0.25,0.2,1.8000000000000003,3.5340000000000003
Abell0068,0.255,1.43,0.02,6.3,0.4,1.16,5.9,1.6,0.77,0.01,5.1,1.0,214.2,29.5,15.0,14.0,2.1,0.74,0.6,0.8000000000000007,4.851
Abell0115N,0.197,1.11,0.01,5.3,0.2,1.03,3.9,1.5,0.6,0.01,4.1,0.2,30.0,2.4,10.0,59.6,0.8,3.31,0.82,-0.19999999999999973,3.1799999999999997
Abell0115S,0.197,1.17,0.01,5.4,0.3,1.14,5.3,1.2,0.8,0.01,4.2,0.3,192.8,48.5,143.0,,,,,1.0999999999999996,4.32
Abell0209,0.206,1.77,0.02,7.0,0.4,1.24,6.8,1.4,1.02,0.02,5.6,1.1,152.7,20.9,16.0,7.1,1.1,1.47,1.1,1.2000000000000002,7.140000000000001
Abell0222,0.207,0.5,0.01,4.1,0.3,1.16,5.7,1.3,0.61,0.01,2.4,0.6,220.2,32.2,10.0,38.4,3.2,1.21,0.96,3.3000000000000003,2.501
Abell0223S,0.207,0.62,0.01,6.3,0.4,1.24,6.9,2.0,0.68,0.04,3.3,1.6,133.5,20.1,8.0,36.9,2.4,2.26,1.62,3.6000000000000005,4.284
Abell0267,0.231,1.15,0.03,6.5,0.5,1.13,5.3,1.5,0.63,0.01,5.7,0.6,160.8,20.6,77.0,22.0,1.7,0.27,0.22,-0.40000000000000036,4.095
Abell0370,0.375,1.55,0.06,7.2,0.6,1.43,12.8,2.0,1.0,0.05,8.6,6.0,500.1,159.8,23.0,15.8,1.3,0.62,0.49,4.200000000000001,7.2
Abell0383,0.187,0.96,0.01,3.7,0.1,1.04,4.0,1.8,0.39,0.01,4.6,0.6,21.3,1.0,,3.1,0.6,0.36,0.26,-0.5999999999999996,1.443
Abell0520,0.199,1.58,0.02,7.3,0.2,1.16,5.6,1.3,0.85,0.01,7.3,0.3,590.1,39.4,341.0,100.7,0.7,4.66,0.97,-1.7000000000000002,6.205
Abell0521,0.253,1.37,0.02,5.9,0.3,1.19,6.3,1.6,1.06,0.02,5.0,1.3,75.6,18.1,33.0,58.5,1.7,8.59,3.41,1.2999999999999998,6.2540000000000004
Abell0586,0.171,1.19,0.02,5.1,0.4,1.18,5.6,1.6,0.65,0.08,3.9,0.6,140.1,23.5,11.0,7.3,1.6,0.59,0.49,1.6999999999999997,3.315
Abell0611,0.288,1.61,0.05,8.7,0.6,1.13,5.7,1.3,0.66,0.05,6.0,0.9,57.0,9.0,4.0,8.0,0.8,0.68,0.42,-0.2999999999999998,5.742
Abell0697,0.282,3.15,0.07,10.3,0.7,1.35,9.7,1.3,1.56,0.03,10.9,1.5,240.0,45.4,20.0,9.1,1.1,0.2,0.16,-1.200000000000001,16.068
Abell0851,0.407,0.93,0.03,6.1,0.4,1.32,10.5,2.5,0.97,0.02,7.4,2.3,479.7,79.7,278.0,30.5,3.4,13.15,7.51,3.0999999999999996,5.917
Abell0959,0.286,0.58,0.03,6.0,1.7,1.26,7.8,1.7,0.75,0.03,5.6,0.5,203.8,23.7,36.0,42.6,4.5,7.7,6.55,2.2,4.5
Abell0963,0.206,1.57,0.01,6.2,0.2,1.0,3.7,1.3,0.57,0.01,4.7,0.5,63.1,5.9,6.0,5.5,0.5,0.12,0.1,-1.0,3.534
Abell1689,0.183,4.48,0.02,10.9,0.2,1.57,13.7,2.7,1.27,0.01,9.7,0.6,72.5,5.5,5.0,4.1,0.3,0.08,0.04,4.0,13.843
Abell1758E,0.279,2.33,0.06,8.9,0.6,1.37,10.1,2.3,1.23,0.04,9.4,0.6,227.4,28.5,25.0,117.9,1.2,8.42,1.62,0.6999999999999993,10.947000000000001
Abell1758W,0.279,1.46,0.06,8.7,1.0,1.37,10.0,1.4,0.93,0.07,11.5,1.6,194.5,19.9,25.0,117.9,1.2,8.42,1.62,-1.5,8.091
Abell1763,0.223,1.91,0.03,6.3,0.2,1.4,10.1,2.5,1.34,0.01,3.9,0.7,419.5,54.0,7.0,22.9,1.2,0.97,0.64,6.199999999999999,8.442
Abell1835,0.253,4.51,0.02,7.1,0.1,1.3,8.4,1.3,1.21,0.01,9.9,0.7,19.7,0.4,6.0,3.9,0.2,,,-1.5,8.591
Abell1914,0.171,2.97,0.02,9.7,0.2,1.18,5.6,1.0,0.99,0.0,9.2,0.9,128.7,9.5,86.0,27.8,0.5,2.39,0.4,-3.5999999999999996,9.603
Abell1942,0.224,0.33,0.01,4.0,0.3,1.05,4.3,1.0,0.44,0.01,2.7,0.6,230.6,72.2,4.0,9.3,1.4,1.57,1.21,1.5999999999999996,1.76
Abell2104,0.153,2.32,0.04,5.8,0.3,1.22,6.1,1.6,0.68,0.14,5.8,0.8,201.7,44.2,8.0,,,,,0.2999999999999998,3.944
Abell2111,0.229,0.91,0.03,5.6,0.7,1.07,4.5,1.5,0.74,0.07,7.3,2.5,203.8,55.6,129.0,33.0,2.8,3.22,2.43,-2.8,4.144
Abell2163,0.203,6.45,0.1,11.5,0.7,1.38,9.5,2.5,2.33,0.03,12.0,1.2,336.0,18.0,160.0,35.3,0.4,3.76,0.37,-2.5,26.795
Abell2204,0.152,3.99,0.01,7.6,0.1,1.34,8.1,1.6,1.16,0.01,8.7,0.6,17.3,0.3,,4.8,0.3,,,-0.5999999999999996,8.815999999999999
Abell2218,0.176,1.28,0.02,6.6,0.2,1.14,5.1,1.4,0.72,0.01,4.3,0.6,317.9,44.9,60.0,18.9,1.0,1.28,0.53,0.7999999999999998,4.752
Abell2219,0.226,6.45,0.08,8.3,0.3,1.35,9.1,1.9,1.65,0.03,7.1,0.9,243.2,33.3,8.0,,,,,2.0,13.695
Abell2259,0.164,0.77,0.02,5.0,0.3,1.05,4.0,1.2,0.5,0.04,4.1,0.9,134.7,30.1,78.0,24.1,1.7,1.18,0.95,-0.09999999999999964,2.5
Abell2261,0.224,2.59,0.03,5.6,0.3,1.52,12.9,1.6,1.46,0.13,6.6,1.0,60.0,9.0,,14.3,1.0,0.39,0.21,6.300000000000001,8.176
Abell2390,0.228,5.99,0.03,10.1,0.3,1.33,8.6,1.5,1.48,0.01,11.0,0.9,31.6,1.1,4.0,11.1,0.9,1.24,0.17,-2.4000000000000004,14.947999999999999
