6 Mahdavi et al.
TABLE 1
Basic Properties of the Sample
Cluster RA DEC z Chandra Exposure XMM-Newton Exposure L T
X,all,bol,500 all,500
Name J2000 J2000 ObsID s ObsID s keV 1045 ergs−1
3C295 14:11:20.52 +52:12:09.9 0.464 2254 87914 ··· ··· 1.16±0.02 5.7±0.3
Abell0068 00:37:06.65 +09:09:24.0 0.255 3250 9986 0084230201 14068 1.43±0.02 6.3±0.4
Abell0115N 00:55:50.37 +26:24:36.6 0.197 3233 49719 0203220101 21393 1.11±0.01 5.3±0.2
Abell0115S 00:56:00.17 +26:20:29.5 0.197 3233 49719 0203220101 21309 1.17±0.01 5.4±0.3
Abell0209 01:31:53.42 -13:36:46.3 0.206 3579 9986 0084230301 11219 1.77±0.02 7.0±0.4
Abell0222 01:37:34.25 -12:59:30.8 0.207 4967 45078 0502020201 23178 0.50±0.01 4.1±0.3
Abell0223S 01:37:56.06 -12:49:12.8 0.207 4967 45078 0502020201 23206 0.62±0.01 6.3±0.4
Abell0267 01:52:42.38 +01:00:48.0 0.231 3580 19624 0084230401 10421 1.15±0.03 6.5±0.5
Abell0370 02:39:53.18 -01:34:34.9 0.375 515 68532 ··· ··· 1.55±0.06 7.2±0.6
Abell0383 02:48:03.33 -03:31:45.1 0.187 2320 19285 0084230501 20237 0.96±0.01 3.7±0.1
Abell0520 04:54:10.10 +02:55:18.3 0.199 4215 66274 0201510101 21915 1.58±0.02 7.3±0.2
Abell0521 04:54:06.30 -10:13:16.9 0.253 901 38626 ··· ··· 1.37±0.02 5.9±0.3
Abell0586 07:32:20.16 +31:37:56.6 0.171 530 10043 ··· ··· 1.19±0.02 5.1±0.4
Abell0611 08:00:56.96 +36:03:22.0 0.288 3194 36114 ··· ··· 1.61±0.05 8.7±0.6
Abell0697 08:42:57.29 +36:21:56.2 0.282 4217 19516 ··· ··· 3.15±0.07 10.3±0.7
Abell0851 09:43:00.39 +46:59:20.4 0.407 ··· ··· 0106460101 15731 0.93±0.03 6.1±0.4
Abell0959 10:17:35.61 +59:33:53.4 0.286 ··· ··· 0406630201 4134 0.58±0.03 6.0±1.7
Abell0963 10:17:03.63 +39:02:48.3 0.206 903 36289 0084230701 17234 1.57±0.01 6.2±0.2
