z,interp,rho_X,p_X,w_X,A_X,A_total,q
0.0,cubic,4790.938932847708,-22916.850871228038,-4.783373612655586,-63959.61368083641,-63694.93376528413,-1.766643184796284
0.06,cubic,4613.25971398539,-12119.17843064664,-2.627031466255104,-31744.275577954526,-31428.979130254782,-0.7295969976655623
0.14,cubic,5010.635984321777,-7349.0465295134545,-1.466689368876234,-17036.503604218586,-16644.199059881284,-0.18016255757265598
0.25,cubic,5693.08593896037,-10945.015766806968,-1.9225101964305964,-27141.961361460533,-26624.609135381837,-0.38129388842852807
0.4,cubic,6180.001439730274,-14516.546139830665,-2.3489551388299095,-37369.63697976172,-36642.457787478554,-0.5510311613185649
0.65,cubic,7165.6275436912665,-14265.72723393327,-1.9908552526558607,-35631.55415810854,-34440.191314903714,-0.3537697753501273
1.0,cubic,8740.200675581678,-15895.500882991908,-1.8186654372136632,-38946.301973394045,-36822.321074575724,-0.23189571390246422
1.5,cubic,11863.432191370466,-19535.97066196835,-1.6467385109832664,-46744.47979453458,-42589.69134528005,-0.1102469063754582
2.1,cubic,15144.762632828886,-30607.929760405066,-2.021024066369789,-76679.02664838631,-68742.79127289355,-0.16386809662250568
3.2,cubic,19251.04474399168,-48120.02688255359,-2.499605996582187,-125109.0359036691,-105305.56945457213,-0.11753104079670995
5.0,cubic,16188.143223105302,-87262.92727595771,-5.3905457885625525,-245600.63860476785,-187546.66430147312,-0.0907179930551415
8.5,cubic,-54751.35557376984,-182239.55744705387,3.3284939804186475,-601470.0279149315,-368580.9665701366,-0.018082495159618128
0.0,pchip,4790.938932847708,-20726.801997085677,-4.326250509055388,-57389.467058409326,-57124.787142857036,-1.5500301386377304
0.06,pchip,4613.25971398539,-14784.292053895044,-3.2047387250007895,-39739.616447699744,-39424.32,-1.0
0.14,pchip,5010.635984321777,-8788.76919979769,-1.7540226883967724,-21355.671615071296,-20963.36707073399,-0.313414690506548
0.25,pchip,5693.08593896037,-11453.780979342371,-2.0118756509468705,-28668.25699906674,-28150.90477298805,-0.4222609653739051
0.4,pchip,6180.001439730274,-13601.881184133,-2.2009511351710387,-34625.64211266873,-33898.46292038556,-0.4848049368649927
0.65,pchip,7165.6275436912665,-14593.335136906553,-2.0365746123317225,-36614.377867028394,-35423.01502382356,-0.37337771595394176
1.0,pchip,8740.200675581678,-15921.358798092444,-1.8216239408064672,-39023.87571869566,-36899.89481987733,-0.23308648441523394
1.5,pchip,11863.432191370466,-20570.375751335185,-1.7339312451499662,-49847.69506263509,-45692.90661338056,-0.14256752033183417
2.1,pchip,15144.762632828886,-29801.169338219494,-1.967754137897171,-74258.74538182959,-66322.51000633683,-0.14636273665173827
3.2,pchip,19251.04474399168,-48379.450257803954,-2.5130818041916068,-125887.30602942019,-106083.83958032323,-0.12086319383446775
5.0,pchip,16188.143223105302,-86054.62710275961,-5.3159047283405565,-241975.73808517354,-183921.7637818788,-0.08252193220231108
8.5,pchip,-54751.35557376984,-189316.2756223871,3.4577459067165877,-622700.1824409312,-389811.1210961363,-0.038323942815510326
0.0,loglog,4790.938932847708,-23543.704502810848,-4.914215111653823,-65840.17457558484,-65575.49466003256,-1.8286439356634894
0.06,loglog,4613.25971398539,-11943.668392528874,-2.5889867757327614,-31217.745463601233,-30902.44901590149,-0.7117897113897036
0.14,loglog,5010.635984321777,-7416.251617508729,-1.4801018554758512,-17238.118868204412,-16845.81432386711,-0.18638265919654184
0.25,loglog,5693.08593896037,-11011.8199421369,-1.9342444607726752,-27342.373887450332,-26825.021661371637,-0.3866731315913523
0.4,loglog,6180.001439730274,-14370.532227442409,-2.325328297669395,-36931.59524259695,-36204.41605031378,-0.5404590386249681
0.65,loglog,7165.6275436912665,-14426.285611003512,-2.0132619959719573,-36113.229289319264,-34921.866446114436,-0.363379492003681
1.0,loglog,8740.200675581678,-15699.359193319027,-1.7962241115561346,-38357.87690437541,-36233.89600555708,-0.2228632865207828
1.5,loglog,11863.432191370466,-19767.01436737032,-1.6662137944994508,-47437.61091074049,-43282.822461485965,-0.11746600698324683
2.1,loglog,15144.762632828886,-30414.069189330083,-2.008223563927132,-76097.44493516136,-68161.2095596686,-0.1596616445117135
3.2,loglog,19251.04474399168,-48296.68737932744,-2.508782667205686,-125639.01739399067,-105835.55094489368,-0.1198001493934534
5.0,loglog,16188.143223105302,-86878.35223360438,-5.366789200975384,-244446.91347770786,-186392.93917441313,-0.08810936937079239
8.5,loglog,-54751.35557376984,-186202.28561969407,3.400870785177408,-613358.2124328521,-380469.1510880572,-0.02941703652380756
0.0,finite,4790.938932847708,-20726.801997085593,-4.326250509055371,-57389.46705840906,-57124.78714285678,-1.5500301386377222
0.06,finite,4613.25971398539,-13428.9306253236,-2.910941819428233,-35673.532161985415,-35358.23571428567,-0.8624847374847361
