halo_id,m200_msun,pos_x,pos_y,pos_z
0,1535789876734573.2,43718.8125,48813.640625,147594.953125
1,1307340105550634.8,81856.5078125,121018.3203125,194532.6875
2,1033314303771774.4,119228.15625,67811.4921875,196039.390625
3,899670211931650.4,86512.828125,81893.5625,52624.5546875
4,841819710473870.6,134485.390625,36361.37890625,35270.6171875
5,733527377195896.1,46909.2734375,73091.875,143122.296875
6,459285186235975.8,172315.078125,111833.109375,163072.765625
7,581220648342928.9,197691.921875,112083.5234375,198472.453125
8,398251615782772.4,48910.67578125,189379.3125,98636.609375
9,641211629484056.6,59176.6640625,8106.17578125,100355.09375
10,635853481602450.5,40907.8203125,98524.265625,113316.53125
11,547336957023176.9,203614.5,109663.9921875,194446.859375
12,655181518951136.8,164437.5,168005.5625,61120.0390625
13,553877302000295.25,204287.328125,105547.0625,191478.828125
14,437283207161573.7,100361.828125,23873.85546875,137372.609375
15,497315966840124.0,94123.1171875,103107.9375,81124.4609375
16,379204235634411.0,158961.078125,123934.7109375,165212.734375
17,416661505618910.56,170512.390625,175707.203125,103725.2734375
18,407155230476823.1,20199.845703125,175134.203125,14404.4169921875
19,467371856085769.1,189338.09375,105315.5,166653.796875
20,431286819318349.56,72004.984375,42914.2421875,157770.21875
21,382146090520741.06,83617.4140625,142454.671875,153858.734375
22,360359577981989.94,156436.609375,30458.3359375,89037.375
23,392225501457779.75,9424.24609375,119345.875,194517.09375
24,367364878579864.2,146191.1875,59500.671875,140923.765625
25,219906737848759.97,46916.35546875,44126.9375,154302.390625
26,278377257021331.56,52858.70703125,180630.03125,100616.7265625
27,456104481519412.44,94124.5625,31293.876953125,12286.369140625
28,471019477044582.25,19089.8125,181914.90625,56396.2421875
29,212362410503395.34,85372.3046875,192175.515625,66465.15625
30,389327328065028.06,46616.35546875,55904.0859375,143668.609375
31,390177372813330.4,156829.765625,97395.875,178941.734375
32,390393733161721.3,116814.9921875,64947.21484375,34663.375
33,369590789461544.1,34662.1640625,79072.5234375,146037.0
34,367825826459625.06,34440.7890625,41365.4609375,140398.4375
35,381228058338869.2,51936.15625,51077.625,59491.34765625
36,374207966581783.3,36381.8984375,44075.4296875,140399.96875
37,197666874838537.06,141951.8125,85665.2890625,62745.625
38,128062115948848.53,95643.5625,195193.453125,136494.140625
39,334133439898878.06,76657.7265625,144459.453125,104567.71875
40,235068094114444.94,10153.4248046875,7259.302734375,125544.6953125
41,357260815710806.0,33476.59375,90609.015625,85614.96875
42,198878726334145.25,110213.1328125,144195.625,201093.109375
43,343380711175081.2,44354.41796875,89083.484375,83924.3515625
44,332506181724239.75,171087.234375,30875.896484375,157500.625
45,305942874409506.94,83247.71875,35559.90234375,14700.3828125
46,176415712881975.2,167863.78125,182064.25,35294.30859375
47,183143571122121.34,128947.171875,41772.9765625,37307.47265625
48,324151512215825.2,55978.16015625,49242.76953125,3210.376220703125
49,324038718814585.2,196115.140625,150869.046875,185455.828125
50,338210581128210.8,158597.921875,102958.1171875,46915.43359375
51,316146554150059.06,54637.5390625,141321.828125,81528.6015625
52,275655193571006.78,3075.464599609375,96190.7265625,186318.125
53,184230519495497.5,27632.716796875,53806.53515625,187199.234375
54,314248643711248.9,18556.744140625,142322.34375,99867.546875
55,242969413151387.66,83479.4140625,18212.1484375,143792.890625
56,296168311282108.06,104653.359375,88591.9765625,106448.765625
57,301115824291408.3,100474.8046875,1191.0582275390625,34754.50390625
58,279208848861455.56,50534.9609375,34507.94921875,172736.34375
